"","Year","Council","","Rest of Scotland","Rural Scotland","All"
"26","2018","Scotland","Cinema","57.2","52.1","56.3"
"59","2018","Scotland","Library (including mobile and online)","27.2","22.6","26.4"
"92","2018","Scotland","Live music event - e.g. traditional music, rock concert","33.8","34","33.8"
"125","2018","Scotland","Theatre - e.g. pantomime / musical / play","31.8","32.9","32"
"158","2018","Scotland","Dance show / event - e.g. ballet","10.7","9.9","10.5"
"191","2018","Scotland","Historic place - e.g. castle, stately home and grounds, battle or archaeological site","33.3","37.7","34"
"224","2018","Scotland","Museum","33","26.7","31.9"
"257","2018","Scotland","Art gallery","21.7","18.3","21.1"
"290","2018","Scotland","Exhibition - including art, photography and crafts","17.3","19.7","17.7"
"323","2018","Scotland","Street arts (e.g. musical performances or art in parks, streets or shopping centre)","17.1","13.4","16.4"
"356","2018","Scotland","Culturally specific festival (e.g. Mela /Feis/ local Gala days)","15","18.6","15.7"
"389","2018","Scotland","Book festival","5.8","6.4","5.9"
"422","2018","Scotland","Archive or records office (e.g. Scotland's Family History Peoples Centre)","2","2.4","2.1"
"455","2018","Scotland","Streaming of a live performance (e.g. theatre, dance, concert or comedy performance)","7.1","8.5","7.3"
"488","2018","Scotland","None","18.9","20.5","19.2"
"521","2018","Scotland","Any excluding cinema","73.9","72.8","73.7"
"554","2018","Scotland","Any including cinema","81.1","79.5","80.8"
"587","2018","Scotland","Base","7640","2060","9700"
"620","2019","Scotland","Cinema","59.1","52.6","58"
"653","2019","Scotland","Library (including mobile and online)","27.4","23.9","26.8"
"686","2019","Scotland","Live music event - e.g. traditional music, rock concert","36.9","37","36.9"
"719","2019","Scotland","Theatre - e.g. pantomime / musical / play","33.6","33","33.5"
"752","2019","Scotland","Dance show / event - e.g. ballet","11.2","8.7","10.8"
"785","2019","Scotland","Historic place - e.g. castle, stately home and grounds, battle or archaeological site","34.2","39.5","35.1"
"818","2019","Scotland","Museum","34.7","29.9","33.9"
