"","Year","Council","","Large urban areas","Other urban areas","Accessible small towns","Remote small towns","Accessible rural","Remote rural","All"
"26","2018","Scotland","Cinema","62.4","53.9","54.2","47.1","55.5","45.6","56.3"
"59","2018","Scotland","Library (including mobile and online)","30.9","24.4","26.7","20.5","20.9","26","26.4"
"92","2018","Scotland","Live music event - e.g. traditional music, rock concert","37.2","30.8","32.9","32.5","35.2","31.8","33.8"
"125","2018","Scotland","Theatre - e.g. pantomime / musical / play","36.2","28.4","31.7","22.2","35.9","27","32"
"158","2018","Scotland","Dance show / event - e.g. ballet","12.2","9.7","9.9","7.1","10.7","8.3","10.5"
"191","2018","Scotland","Historic place - e.g. castle, stately home and grounds, battle or archaeological site","36.2","30.2","35.5","29.7","39","35.1","34"
"224","2018","Scotland","Museum","42.7","25.7","27.2","24.5","27.1","25.8","31.9"
"257","2018","Scotland","Art gallery","31.3","14.2","16.6","13.5","18.6","17.9","21.1"
"290","2018","Scotland","Exhibition - including art, photography and crafts","22.1","12.6","17.5","15.7","20.3","18.5","17.7"
"323","2018","Scotland","Street arts (e.g. musical performances or art in parks, streets or shopping centre)","22.9","12.6","13.9","11.7","15.8","8.9","16.4"
"356","2018","Scotland","Culturally specific festival (e.g. Mela /Feis/ local Gala days)","15.9","13","18.7","17.4","19.1","17.6","15.7"
"389","2018","Scotland","Book festival","8.2","4.1","4.6","3","7.1","5.1","5.9"
"422","2018","Scotland","Archive or records office (e.g. Scotland's Family History Peoples Centre)","2.4","1.6","2.1","2.3","2.8","1.5","2.1"
"455","2018","Scotland","Streaming of a live performance (e.g. theatre, dance, concert or comedy performance)","7.2","7","7.1","7.1","9.1","7.1","7.3"
"488","2018","Scotland","None","16","21","18.8","26.5","19.1","23.2","19.2"
"521","2018","Scotland","Any excluding cinema","77.6","70.8","74.6","68","73.8","70.9","73.7"
"554","2018","Scotland","Any including cinema","84","79","81.2","73.5","80.9","76.8","80.8"
"587","2018","Scotland","Base","2970","3250","840","580","1030","1030","9700"
"620","2019","Scotland","Cinema","64.1","56","54.8","52.4","55.4","47.4","58"
"653","2019","Scotland","Library (including mobile and online)","31.4","24.6","24.9","22.1","22.5","26.6","26.8"
"686","2019","Scotland","Live music event - e.g. traditional music, rock concert","39.1","35.7","33.9","34.9","39.4","32.6","36.9"
"719","2019","Scotland","Theatre - e.g. pantomime / musical / play","35.3","33.3","30.3","28.6","35.2","29.1","33.5"
