"","Year","Council","","Rest of Scotland","Rural Scotland","All"
"26","2018","Scotland","Read books, poetry or graphic novels / comics for pleasure (including on a Kindle or other mobile device)","62.5","65.7","63.1"
"59","2018","Scotland","Dance, either for fitness or not for fitness","12.5","10.5","12.1"
"92","2018","Scotland","Played a musical instrument or written music","10.3","10.8","10.4"
"125","2018","Scotland","Taken part in a theatrical performance such as a play, musical, comedy or variety performance (including production and backstage","1.1","1.5","1.2"
"158","2018","Scotland","Sang in a singing group or choir","3.7","4.4","3.8"
"191","2018","Scotland","Painting, drawing, printmaking or sculpture","9.9","9.9","9.9"
"224","2018","Scotland","Photography as an artistic activity (not family or holiday 'snaps')","7","8.8","7.3"
"257","2018","Scotland","Film- making/ video-making as an artistic activity","2.2","1.9","2.2"
"290","2018","Scotland","Used a computer to produce artwork or animation","7.7","6.8","7.5"
"323","2018","Scotland","Crafts such as knitting, jewellery making, pottery, etc.","14.5","21.8","15.7"
"356","2018","Scotland","Creative writing - stories, books, comics, plays or poetry","4.7","5.4","4.9"
"389","2018","Scotland","Viewed performances (e.g. music or dance) online on a smartphone, computer, smart tv etc","22.3","20.4","22"
"422","2018","Scotland","Viewed cultural content online (e.g. museum or heritage collections or artist's work)","11.2","10.9","11.2"
"455","2018","Scotland","Shared art or creative content online that you have created yourself (such as digital art, music, dance, videos or recordings)","5.1","4.3","4.9"
"488","2018","Scotland","Other cultural activity","2","2.5","2.1"
"521","2018","Scotland","None","24.4","22.8","24.1"
"554","2018","Scotland","Any excluding reading","52.3","54.6","52.7"
"587","2018","Scotland","Any including reading","75.6","77.2","75.9"
"620","2018","Scotland","Base","7640","2060","9700"
"653","2019","Scotland","Read books, poetry or graphic novels / comics for pleasure (including on a Kindle or other mobile device)","61.4","65.2","62"
"686","2019","Scotland","Dance, either for fitness or not for fitness","12","10.5","11.7"
"719","2019","Scotland","Played a musical instrument or written music","10.9","9.6","10.7"
"752","2019","Scotland","Taken part in a theatrical performance such as a play, musical, comedy or variety performance (including production and backstage","1.2","1","1.2"
"785","2019","Scotland","Sang in a singing group or choir","3.6","4","3.7"
"818","2019","Scotland","Painting, drawing, printmaking or sculpture","10.8","10.7","10.8"
"851","2019","Scotland","Photography as an artistic activity (not family or holiday 'snaps')","7.1","9.5","7.5"
"884","2019","Scotland","Film- making/ video-making as an artistic activity","2.4","2","2.3"
"917","2019","Scotland","Used a computer to produce artwork or animation","7.1","6","6.9"
"950","2019","Scotland","Crafts such as knitting, jewellery making, pottery, etc.","14.8","21.5","16"
"983","2019","Scotland","Creative writing - stories, books, comics, plays or poetry","4.6","4.5","4.6"
"1016","2019","Scotland","Viewed performances (e.g. music or dance) online on a smartphone, computer, smart tv etc","23","20.6","22.6"
"1049","2019","Scotland","Viewed cultural content online (e.g. museum or heritage collections or artist's work)","10.3","11.3","10.5"
"1082","2019","Scotland","Shared art or creative content online that you have created yourself (such as digital art, music, dance, videos or recordings)","4.8","4.5","4.8"
"1115","2019","Scotland","Other cultural activity","2.5","1.7","2.4"
"1148","2019","Scotland","None","25.6","21.6","24.9"
"1181","2019","Scotland","Any excluding reading","51.8","53.2","52"
"1214","2019","Scotland","Any including reading","74.4","78.4","75.1"
"1247","2019","Scotland","Base","7710","2060","9780"
"1280","2022","Scotland","Read books, poetry or graphic novels / comics for pleasure (including on a Kindle or other mobile device)","62.8","66.7","63.5"
"1313","2022","Scotland","Dance, either for fitness or not for fitness","12.3","9.2","11.7"
"1346","2022","Scotland","Played a musical instrument or written music","11.8","12.6","11.9"
"1379","2022","Scotland","Taken part in a theatrical performance such as a play, musical, comedy or variety performance (including production and backstage","1.1","1","1.1"
