"","Year","Council","","Large urban areas","Other urban areas","Accessible small towns","Remote small towns","Accessible rural","Remote rural","All"
"26","2018","Scotland","Read books, poetry or graphic novels / comics for pleasure (including on a Kindle or other mobile device)","66.5","59.3","61","59","63","70.9","63.1"
"59","2018","Scotland","Dance, either for fitness or not for fitness","14.7","10.9","11.5","8.7","10.3","11","12.1"
"92","2018","Scotland","Played a musical instrument or written music","11.6","8.1","12.3","15.4","10.5","11.3","10.4"
"125","2018","Scotland","Taken part in a theatrical performance such as a play, musical, comedy or variety performance (including production and backstage","1.3","0.9","0.8","1.7","1.7","0.9","1.2"
"158","2018","Scotland","Sang in a singing group or choir","3.9","3.4","4","4.1","4","5","3.8"
"191","2018","Scotland","Painting, drawing, printmaking or sculpture","11.3","8.6","9.5","10.9","8.9","12","9.9"
"224","2018","Scotland","Photography as an artistic activity (not family or holiday 'snaps')","7.9","5.4","7.5","12.8","8.8","8.8","7.3"
"257","2018","Scotland","Film- making/ video-making as an artistic activity","2.6","2","1.4","3.2","2.3","1.1","2.2"
"290","2018","Scotland","Used a computer to produce artwork or animation","8.4","6.7","7.8","9.5","7.3","5.9","7.5"
"323","2018","Scotland","Crafts such as knitting, jewellery making, pottery, etc.","14.3","14.7","13.6","15.7","19.5","26.4","15.7"
"356","2018","Scotland","Creative writing - stories, books, comics, plays or poetry","5.6","3.8","5.2","5","6.2","3.9","4.9"
"389","2018","Scotland","Viewed performances (e.g. music or dance) online on a smartphone, computer, smart tv etc","25.2","19.4","22.3","23","20.3","20.5","22"
"422","2018","Scotland","Viewed cultural content online (e.g. museum or heritage collections or artist's work)","14.5","8.1","10.2","12.2","10.3","12","11.2"
"455","2018","Scotland","Shared art or creative content online that you have created yourself (such as digital art, music, dance, videos or recordings)","5.7","4.5","4","6.6","4.4","4.1","4.9"
"488","2018","Scotland","Other cultural activity","2","1.8","2.5","2.1","3","1.6","2.1"
"521","2018","Scotland","None","21.9","26.9","24.2","24.2","23.7","21.1","24.1"
"554","2018","Scotland","Any excluding reading","55.7","48.9","51.6","54.5","54.1","55.5","52.7"
"587","2018","Scotland","Any including reading","78.1","73.1","75.8","75.8","76.3","78.9","75.9"
"620","2018","Scotland","Base","2970","3250","840","580","1030","1030","9700"
"653","2019","Scotland","Read books, poetry or graphic novels / comics for pleasure (including on a Kindle or other mobile device)","65.7","56.8","62.8","60.9","63.4","68.3","62"
"686","2019","Scotland","Dance, either for fitness or not for fitness","14.7","10","10.5","9","10.6","10.4","11.7"
"719","2019","Scotland","Played a musical instrument or written music","13.1","9.5","9.5","7.1","10.4","8.1","10.7"
"752","2019","Scotland","Taken part in a theatrical performance such as a play, musical, comedy or variety performance (including production and backstage","1.2","1","2.2","0.8","1","1","1.2"
