"Table 2: Number of dwellings in Scotland by council area, September 2001 to 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area Name,Area code,Area type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,"Change 2023-2024
Number","Change 2023-2024
%","Change 2014-2024
Number","Change 2014-2024
%","Change 2004-2024
Number","Change 2004-2024
%"
Scotland,S92000003,Country,"2,320,642","2,338,324","2,356,176","2,376,915","2,396,782","2,416,071","2,440,596","2,460,883","2,476,157","2,488,496","2,500,849","2,515,042","2,526,870","2,540,561","2,557,582","2,575,667","2,595,031","2,615,185","2,636,871","2,653,725","2,674,993","2,699,379","2,721,225","2,740,973","19,748",0.7,"200,412",7.9,"364,058",15.3
Aberdeen City,S12000033,Council area,"105,030","105,675","106,280","106,754","107,670","108,618","109,425","110,084","110,565","110,968","111,419","112,073","112,713","113,508","114,234","115,080","116,821","118,131","119,523","120,980","122,242","123,363","124,369","125,828","1,459",1.2,"12,320",10.9,"19,074",17.9
Aberdeenshire,S12000034,Council area,"97,014","98,380","99,654","101,357","102,864","104,226","105,503","106,850","108,051","109,552","110,649","111,773","112,867","114,086","115,223","116,421","117,363","118,197","119,196","119,854","120,682","121,610","122,524","123,367",843,0.7,"9,281",8.1,"22,010",21.7
Angus,S12000041,Council area,"50,313","50,607","51,051","51,550","51,989","52,346","52,870","53,402","53,807","54,060","54,372","54,566","54,872","55,267","55,619","55,872","56,135","56,485","56,928","57,206","57,711","58,088","58,286","58,435",149,0.3,"3,168",5.7,"6,885",13.4
Argyll and Bute,S12000035,Council area,"44,556","44,857","45,123","45,246","45,512","45,794","45,932","46,306","46,446","46,679","46,896","47,105","47,336","47,500","47,712","47,780","47,884","48,020","48,134","48,199","48,411","48,786","49,144","49,697",553,1.1,"2,197",4.6,"4,451",9.8
City of Edinburgh,S12000036,Council area,"216,594","218,285","219,239","221,536","223,693","226,247","228,523","230,051","231,903","233,068","234,541","235,850","237,524","239,525","241,433","244,131","246,818","249,810","252,731","254,929","257,658","261,000","263,670","266,309","2,639",1.0,"26,784",11.2,"44,773",20.2
Clackmannanshire,S12000005,Council area,"21,252","21,534","21,682","22,076","22,443","22,770","23,132","23,374","23,549","23,670","23,720","23,774","23,894","23,995","24,114","24,221","24,377","24,524","24,716","24,838","24,931","25,109","25,277","25,295",18,0.1,"1,300",5.4,"3,219",14.6
Dumfries and Galloway,S12000006,Council area,"67,607","67,967","68,497","69,242","69,880","70,501","71,115","71,778","72,106","72,421","72,871","73,224","73,555","73,895","74,190","74,453","74,687","74,823","75,089","75,298","75,521","75,922","76,275","76,535",260,0.3,"2,640",3.6,"7,293",10.5
Dundee City,S12000042,Council area,"71,740","72,109","72,297","72,210","71,790","72,165","72,736","73,068","73,696","74,015","73,529","73,818","73,560","73,575","73,689","74,026","74,354","74,531","74,891","75,027","75,453","75,840","76,306","76,780",474,0.6,"3,205",4.4,"4,570",6.3
East Ayrshire,S12000008,Council area,"52,983","53,312","53,499","53,677","53,842","54,231","54,848","55,717","56,121","56,398","56,614","56,919","57,172","57,324","57,654","57,873","58,158","58,453","58,628","58,821","58,973","59,305","59,737","60,045",308,0.5,"2,721",4.7,"6,368",11.9
