<<<<<<< HEAD
"Table HC4a and HC4b: Disrepair to critical elements by dwelling age and location, 2018 to 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table HC4a: Percentage of dwellings with disrepair to critical elements by dwelling age and location, 2018 to 2023 [note 1] [note 2]",,,,,,,,,,"Table HC4b: Number (in thousands) of dwellings with disrepair to critical elements by dwelling age and location, 2018 to 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Disrepair,Dwelling Characteristics,Category,2018,2019,2020,2021,2022,2023,,Type of Disrepair,Dwelling Characteristics,Category,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,Dwelling Age,pre-1919,73%,71%,[x],[x],71%,62%,,Any disrepair to critical elements,Dwelling Age,pre-1919, 342 , 337 , [x] , [x] , 328 , 289 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,Dwelling Age,1919-1944,73%,64%,[x],[x],65%,57%,,Any disrepair to critical elements,Dwelling Age,1919-1944, 204 , 173 , [x] , [x] , 182 , 145 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,Dwelling Age,1945-1964,67%,59%,[x],[x],55%,55%,,Any disrepair to critical elements,Dwelling Age,1945-1964, 351 , 304 , [x] , [x] , 284 , 287 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,Dwelling Age,1965-1982,52%,48%,[x],[x],42%,46%,,Any disrepair to critical elements,Dwelling Age,1965-1982, 271 , 260 , [x] , [x] , 235 , 251 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,Dwelling Age,post-1982,35%,31%,[x],[x],28%,24%,,Any disrepair to critical elements,Dwelling Age,post-1982, 230 , 209 , [x] , [x] , 193 , 179 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,Urban-Rural Indicator [note 4],Urban,57%,52%,[x],[x],48%,46%,,Any disrepair to critical elements,Urban-Rural Indicator [note 4],Urban," 1,182 "," 1,066 ", [x] , [x] ," 1,018 ", 965 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,Urban-Rural Indicator [note 4],Rural,54%,53%,[x],[x],50%,45%,,Any disrepair to critical elements,Urban-Rural Indicator [note 4],Rural, 216 , 218 , [x] , [x] , 205 , 186 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,All dwellings,All dwellings,57%,52%,[x],[x],49%,45%,,Any disrepair to critical elements,All dwellings,All dwellings," 1,398 "," 1,284 ", [x] , [x] ," 1,222 "," 1,151 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements and any urgent disrepair,Dwelling Age,pre-1919,40%,36%,[x],[x],32%,31%,,Any disrepair to critical elements and any urgent disrepair,Dwelling Age,pre-1919, 184 , 173 , [x] , [x] , 149 , 144 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements and any urgent disrepair,Dwelling Age,1919-1944,35%,30%,[x],[x],30%,25%,,Any disrepair to critical elements and any urgent disrepair,Dwelling Age,1919-1944, 98 , 80 , [x] , [x] , 85 , 64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements and any urgent disrepair,Dwelling Age,1945-1964,34%,30%,[x],[x],28%,23%,,Any disrepair to critical elements and any urgent disrepair,Dwelling Age,1945-1964, 177 , 155 , [x] , [x] , 142 , 122 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements and any urgent disrepair,Dwelling Age,1965-1982,21%,19%,[x],[x],20%,21%,,Any disrepair to critical elements and any urgent disrepair,Dwelling Age,1965-1982, 111 , 105 , [x] , [x] , 114 , 116 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements and any urgent disrepair,Dwelling Age,post-1982,12%,11%,[x],[x],9%,8%,,Any disrepair to critical elements and any urgent disrepair,Dwelling Age,post-1982, 80 , 71 , [x] , [x] , 65 , 61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements and any urgent disrepair,Urban-Rural Indicator [note 4],Urban,27%,24%,[x],[x],22%,20%,,Any disrepair to critical elements and any urgent disrepair,Urban-Rural Indicator [note 4],Urban, 557 , 497 , [x] , [x] , 462 , 419 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
