"","Year","Council","","Large urban areas","Other urban areas","Accessible small towns","Remote small towns","Accessible rural","Remote rural"
"257","2012","Scotland","I can influence decisions affecting my local area","23.3","19","20.9","23.6","18.9","26.1"
"290","2012","Scotland","I would like to be more involved in the decisions my council makes that affect my local area","35.2","31.3","35.3","29.6","29.9","33.5"
"587","2013","Scotland","I can influence decisions affecting my local area","24","20.3","18.2","22.9","23.4","20.5"
"620","2013","Scotland","I would like to be more involved in the decisions my council makes that affect my local area","36.9","33.1","33.2","31.3","34.2","33.7"
"917","2014","Scotland","I can influence decisions affecting my local area","24.6","20.6","22.3","20.3","26.9","22.2"
"950","2014","Scotland","I would like to be more involved in the decisions my council makes that affect my local area","38.8","30.3","31.7","27","32.7","33.7"
"1247","2015","Scotland","I can influence decisions affecting my local area","26.6","19.3","23.1","27.4","24.3","27.8"
"1280","2015","Scotland","I would like to be more involved in the decisions my council makes that affect my local area","40.4","31.2","29.5","27.9","31.9","27.6"
"1577","2016","Scotland","I can influence decisions affecting my local area","28","18.9","20.4","21.2","22.4","25"
"1610","2016","Scotland","I would like to be more involved in the decisions my council makes that affect my local area","40.8","30.1","26.9","35.1","29.7","32.8"
"1907","2017","Scotland","I can influence decisions affecting my local area","23.6","21.8","20.7","16","25.9","24.3"
"1940","2017","Scotland","I would like to be more involved in the decisions my council makes that affect my local area","36.7","32.9","31.2","27.6","30.8","26.1"
"2237","2018","Scotland","I can influence decisions affecting my local area","20.6","19","21.5","22.6","19.3","20.9"
"2270","2018","Scotland","I would like to be more involved in the decisions my council makes that affect my local area","37.9","31","33.1","28.8","34.1","31.9"
"2567","2019","Scotland","I can influence decisions affecting my local area","16.6","17.1","19.8","15.9","20.9","21.6"
"2600","2019","Scotland","I would like to be more involved in the decisions my council makes that affect my local area","32.2","29.3","28.7","24.5","32.5","22"
"2897","2022","Scotland","I can influence decisions affecting my local area","16.2","17.2","18.9","18.4","21.7","20"
"2930","2022","Scotland","I would like to be more involved in the decisions my council makes that affect my local area","35.3","31","32.5","34.5","31.4","29.9"
"3227","2023","Scotland","I can influence decisions affecting my local area","17.9","17.8","18.2","19","18.9","20.1"
"3260","2023","Scotland","I would like to be more involved in the decisions my council makes that affect my local area","34.6","27.8","28","25.9","25.4","23.1"
