25 Urban and rural areas,,,,,,,,,,,,,,,,
Table of contents,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
This worksheet contains seven tables.,,,,,,,,,,,,,,,,
Estimates for 2018-21 to 2020-23 are two-year averages due to the impact of the pandemic on the survey. See README for more information.,,,,,,,,,,,,,,,,
Note: Information on urban/rural class is not available prior to 2006.,,,,,,,,,,,,,,,,
Source: Scottish Government analysis of the Family Resources Survey,,,,,,,,,,,,,,,,
"25a Relative poverty rate: Proportion of children in each category who are in relative poverty (below 60% of UK median income after housing costs), Scotland",,,,,,,,,,,,,,,,
Group,2006-09,2007-10,2008-11,2009-12,2010-13,2011-14,2012-15,2013-16,2014-17,2015-18,2016-19,2017-20,2018-21,2019-22,2020-23,2021-24
All,25%,24%,24%,21%,21%,21%,22%,23%,23%,24%,23%,24%,25%,24%,24%,23%
Urban,26%,26%,25%,23%,22%,22%,23%,25%,26%,27%,25%,26%,26%,27%,28%,24%
Rural,19%,18%,18%,16%,17%,16%,16%,15%,15%,15%,16%,19%,21%,18%,15%,21%
"25b Composition of those in relative poverty: Proportion of children in relative poverty (below 60% of UK median income after housing costs) who are in each category, Scotland",,,,,,,,,,,,,,,,
Group,2006-09,2007-10,2008-11,2009-12,2010-13,2011-14,2012-15,2013-16,2014-17,2015-18,2016-19,2017-20,2018-21,2019-22,2020-23,2021-24
All,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Urban,82%,84%,84%,85%,84%,84%,83%,84%,84%,86%,85%,83%,80%,83%,84%,75%
Rural,17%,16%,16%,15%,16%,16%,17%,16%,16%,14%,15%,17%,20%,17%,16%,25%
"25c Numbers in relative poverty: Number of children in each category who are in relative poverty (below 60% of UK median income after housing costs), Scotland",,,,,,,,,,,,,,,,
Group,2006-09,2007-10,2008-11,2009-12,2010-13,2011-14,2012-15,2013-16,2014-17,2015-18,2016-19,2017-20,2018-21,2019-22,2020-23,2021-24
All,"240,000","240,000","230,000","210,000","210,000","210,000","210,000","220,000","230,000","240,000","230,000","240,000","240,000","250,000","240,000","240,000"
Urban,"200,000","200,000","200,000","180,000","170,000","180,000","180,000","190,000","190,000","210,000","200,000","200,000","200,000","200,000","210,000","180,000"
Rural,"40,000","40,000","40,000",[u],[u],[u],[u],[u],[u],[u],[u],[u],[u],[u],[u],[u]
"25d Severe poverty rate: Proportion of children in each category who are in severe poverty (below 50% of UK median income after housing costs), Scotland",,,,,,,,,,,,,,,,
Group,2006-09,2007-10,2008-11,2009-12,2010-13,2011-14,2012-15,2013-16,2014-17,2015-18,2016-19,2017-20,2018-21,2019-22,2020-23,2021-24
All,15%,15%,14%,13%,13%,12%,13%,14%,14%,16%,16%,18%,18%,18%,17%,16%
Urban,16%,16%,15%,14%,13%,13%,14%,15%,16%,18%,17%,19%,19%,20%,20%,16%
Rural,10%,10%,11%,10%,11%,10%,10%,9%,9%,11%,12%,14%,15%,12%,9%,13%
"25e Composition of those in severe poverty: Proportion of children in severe poverty (below 50% of UK median income after housing costs) who are in each category, Scotland",,,,,,,,,,,,,,,,
Group,2006-09,2007-10,2008-11,2009-12,2010-13,2011-14,2012-15,2013-16,2014-17,2015-18,2016-19,2017-20,2018-21,2019-22,2020-23,2021-24
All,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Urban,84%,85%,85%,85%,82%,83%,82%,84%,84%,86%,84%,82%,81%,84%,87%,75%
Rural,16%,14%,15%,15%,18%,17%,18%,16%,16%,14%,16%,18%,19%,16%,13%,25%
"25f Numbers in severe poverty: Number of children in each category who are in severe poverty (below 50% of UK median income after housing costs), Scotland",,,,,,,,,,,,,,,,
Group,2006-09,2007-10,2008-11,2009-12,2010-13,2011-14,2012-15,2013-16,2014-17,2015-18,2016-19,2017-20,2018-21,2019-22,2020-23,2021-24
All,"150,000","150,000","140,000","130,000","120,000","120,000","130,000","130,000","140,000","160,000","160,000","180,000","180,000","180,000",[u],"160,000"
Urban,"130,000","130,000","120,000","110,000","100,000","100,000","110,000","110,000","120,000","140,000","130,000","150,000","140,000","150,000",[u],[u]
Rural,[u],[u],[u],[u],[u],[u],[u],[u],[u],[u],[u],[u],[u],[u],[u],[u]
"25g Sample size: Number of families with children in each category in the combined three-year survey sample, Scotland",,,,,,,,,,,,,,,,
Group,2006-09,2007-10,2008-11,2009-12,2010-13,2011-14,2012-15,2013-16,2014-17,2015-18,2016-19,2017-20,2018-21,2019-22,2020-23,2021-24
All,"3,443","3,417","3,364","3,103","2,851","2,504","2,386","2,174","2,122","1,974","2,031","1,947","1,326","1,000",731,"1,060"
