<<<<<<< HEAD
﻿"Table 54: How easy or difficult people find it to afford transport costs (row percentages), 2023 [Note 63] [Note 67]",,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells may refer to notes which can be found in the notes worksheet. ,,,,,,,,,,,,,,,,,,,,
Source: Scottish Household Survey,,,,,,,,,,,,,,,,,,,,
Category,Sub-category,Very easy,Fairly easy,Neither easy nor difficult,Fairly difficult,Very difficult,Don’t know,Total easy,Sample size,,,,,,,,,,,
All people aged 16+,All people aged 16+,28.7,41.0,20.4,6.8,1.1,2,70,"3,070",,,,,,,,,,,
Gender,Male,29,42,20,7,1,2,71,"1,430",,,,,,,,,,,
Gender,Female,28,40,21,7,1,2,69,"1,630",,,,,,,,,,,
Gender,Prefer not to say,[small sample],[small sample],[small sample],[small sample],[small sample],[small sample],[small sample],0,,,,,,,,,,,
Age,16-19,28,40,14,13,1,4,67,50,,,,,,,,,,,
Age,20-29,19,43,25,11,1,1,62,270,,,,,,,,,,,
Age,30-39,24,44,23,7,2,1,68,430,,,,,,,,,,,
Age,40-49,26,43,19,10,1,1,69,410,,,,,,,,,,,
Age,50-59,24,43,25,6,1,2,67,520,,,,,,,,,,,
Age,60-69,36,37,19,4,1,3,73,600,,,,,,,,,,,
Age,70-79,45,37,13,3,0,3,81,490,,,,,,,,,,,
Age,80+,43,33,15,3,1,5,76,300,,,,,,,,,,,
Ethnicity,White Scottish,30,41,19,7,1,2,71,"2,290",,,,,,,,,,,
Ethnicity,White other British,33,43,17,4,1,2,76,450,,,,,,,,,,,
Ethnicity,White Irish,[small sample],[small sample],[small sample],[small sample],[small sample],[small sample],[small sample],30,,,,,,,,,,,
Ethnicity,White Polish,[small sample],[small sample],[small sample],[small sample],[small sample],[small sample],[small sample],40,,,,,,,,,,,
Ethnicity,Other white,22,31,34,8,2,3,53,140,,,,,,,,,,,
Ethnicity,"Asian, Asian Scottish or Asian British",12,37,36,8,1,6,50,70,,,,,,,,,,,
Ethnicity,Other ethnic group,[small sample],[small sample],[small sample],[small sample],[small sample],[small sample],[small sample],50,,,,,,,,,,,
Religion,None,28,42,21,7,1,1,70,"1,790",,,,,,,,,,,
Religion,Church of Scotland,37,38,18,5,0,2,74,670,,,,,,,,,,,
Religion,Roman Catholic,27,40,16,11,0,6,67,340,,,,,,,,,,,
Religion,Other Christian,24,42,26,4,2,2,66,190,,,,,,,,,,,
Religion,Muslim,[small sample],[small sample],[small sample],[small sample],[small sample],[small sample],[small sample],40,,,,,,,,,,,
Religion,All other religions,[small sample],[small sample],[small sample],[small sample],[small sample],[small sample],[small sample],50,,,,,,,,,,,
Disability,Disabled,28,32,23,11,2,3,61,980,,,,,,,,,,,
Disability,Not disabled,29,44,19,5,1,2,73,"2,070",,,,,,,,,,,
Annual net household income,"up to £10,000 p.a.",25,32,24,12,3,3,57,220,,,,,,,,,,,
Annual net household income,"over £10,000 - £15,000",27,35,25,6,3,4,62,310,,,,,,,,,,,
Annual net household income,"over £15,000 - £20,000",27,38,22,9,1,3,65,360,,,,,,,,,,,
Annual net household income,"over £20,000 - £25,000",28,39,19,12,1,1,68,380,,,,,,,,,,,
Annual net household income,"over £25,000 - £30,000",25,44,20,6,1,3,70,300,,,,,,,,,,,
Annual net household income,"over £30,000 - £40,000",22,47,20,8,1,1,69,450,,,,,,,,,,,
Annual net household income,"over £40,000 - £50,000",27,45,21,5,1,1,72,340,,,,,,,,,,,
Annual net household income,"over £50,000 p.a.",38,41,17,4,0,1,79,580,,,,,,,,,,,
Equivalised income,1 (20% lowest incomes),24,35,24,11,2,4,59,570,,,,,,,,,,,
Equivalised income,2,23,40,23,10,1,3,62,640,,,,,,,,,,,
Equivalised income,3,28,44,20,6,1,2,72,580,,,,,,,,,,,
Equivalised income,4,28,46,19,6,1,0,74,590,,,,,,,,,,,
Equivalised income,5 (20% highest  incomes),39,41,16,3,0,0,80,570,,,,,,,,,,,
Scottish Index of Multiple Deprivation ,1 (20% most deprived),20,43,20,11,2,3,63,550,,,,,,,,,,,
Scottish Index of Multiple Deprivation ,2,25,41,22,7,2,4,66,600,,,,,,,,,,,
Scottish Index of Multiple Deprivation ,3,27,42,19,9,1,2,69,650,,,,,,,,,,,
Scottish Index of Multiple Deprivation ,4,33,44,17,4,0,1,77,680,,,,,,,,,,,
Scottish Index of Multiple Deprivation ,5 (20% least deprived),37,35,23,3,1,1,72,580,,,,,,,,,,,
Urban/rural classification,Large urban areas,24,39,27,7,1,2,63,980,,,,,,,,,,,
Urban/rural classification,Other urban,29,43,17,8,2,2,72,950,,,,,,,,,,,
Urban/rural classification,Small accessible towns,34,41,15,5,1,4,75,290,,,,,,,,,,,
Urban/rural classification,Small remote towns,20,65,11,3,1,0,85,140,,,,,,,,,,,
Urban/rural classification,Accessible rural,36,39,19,6,1,1,74,370,,,,,,,,,,,
Urban/rural classification,Remote rural,37,40,15,6,1,0,78,340,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
