"","Year","Council","serv5g","Large urban areas","Other urban areas","Accessible small towns","Remote small towns","Accessible rural","Remote rural","All"
"1","2012","Aberdeen City","Satisfied","60.2","-","*","-","*","-","61"
"2","2012","Aberdeenshire","Satisfied","-","78.9","*","*","45.9","*","61.4"
"3","2012","Angus","Satisfied","*","71.4","*","-","51.2","-","65.8"
"4","2012","Argyll and Bute","Satisfied","-","*","-","66.9","*","53.6","62.2"
"5","2012","Clackmannanshire","Satisfied","-","76","65.4","-","*","-","68.7"
"6","2012","Dumfries and Galloway","Satisfied","-","*","*","*","*","*","59.4"
"7","2012","Dundee City","Satisfied","66.5","-","-","-","*","-","66.3"
"8","2012","East Ayrshire","Satisfied","-","68.7","78.9","*","*","*","71.5"
"9","2012","East Dunbartonshire","Satisfied","74.9","85.5","*","-","*","-","76.1"
"10","2012","East Lothian","Satisfied","*","*","*","*","57.5","*","77.1"
"11","2012","East Renfrewshire","Satisfied","90.1","-","*","-","*","-","88.5"
"12","2012","Edinburgh, City of","Satisfied","87.4","-","*","-","*","-","86.4"
"13","2012","Falkirk","Satisfied","-","68.8","*","-","*","-","66.7"
"14","2012","Fife","Satisfied","-","72.9","74.3","-","62.9","-","71"
"15","2012","Glasgow City","Satisfied","82.6","-","-","-","*","-","82.5"
"16","2012","Highland","Satisfied","-","55.6","-","64.6","*","43.4","52.9"
"17","2012","Inverclyde","Satisfied","-","78.1","*","-","*","-","78.2"
"18","2012","Midlothian","Satisfied","-","87","*","-","*","-","83.3"
"19","2012","Moray","Satisfied","-","*","69","*","50.7","*","64.3"
"20","2012","Na h-Eileanan Siar","Satisfied","-","-","-","*","-","83.7","81.6"
"21","2012","North Ayrshire","Satisfied","-","74.7","57.2","-","*","*","69.8"
"22","2012","North Lanarkshire","Satisfied","73.2","*","*","-","*","-","72.4"
"23","2012","Orkney Islands","Satisfied","-","-","-","85","-","68.1","73.1"
"24","2012","Perth and Kinross","Satisfied","*","79.4","*","*","49.4","*","69.2"
